ACGME-Accredited Specialties,Description of Experience,Number,Average,Standard Deviation,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Anesthesiology,Number of research experiences,"1,830",3.0,2.1,1.0,1.0,3.0,4.0,6.0
Anesthesiology,"Number of abstracts, presentations, and publications","1,830",5.7,7.0,0.0,1.0,4.0,7.0,13.0
Anesthesiology,Number of work experiences,"1,830",3.6,2.4,1.0,2.0,3.0,5.0,7.0
Anesthesiology,Number of volunteer experiences,"1,830",7.5,4.3,3.0,5.0,7.0,10.0,13.0
Child Neurology,Number of research experiences,164,3.1,1.9,1.0,2.0,3.0,4.0,5.7
Child Neurology,"Number of abstracts, presentations, and publications",164,7.3,7.7,0.3,2.0,5.0,10.0,17.0
Child Neurology,Number of work experiences,164,3.8,3.0,1.0,2.0,3.0,5.0,8.0
Child Neurology,Number of volunteer experiences,164,6.8,4.2,2.0,4.0,6.0,9.0,12.0
Emergency Medicine,Number of research experiences,"2,810",2.5,1.9,0.0,1.0,2.0,4.0,5.0
Emergency Medicine,"Number of abstracts, presentations, and publications","2,810",4.6,5.6,0.0,1.0,3.0,6.0,11.0
Emergency Medicine,Number of work experiences,"2,810",4.2,2.7,1.0,2.0,4.0,5.0,7.1
Emergency Medicine,Number of volunteer experiences,"2,810",8.3,4.4,3.0,5.0,8.0,11.0,14.0
Family Medicine,Number of research experiences,"4,585",1.8,1.7,0.0,1.0,1.0,3.0,4.0
Family Medicine,"Number of abstracts, presentations, and publications","4,585",3.2,5.5,0.0,0.0,2.0,4.0,8.0
Family Medicine,Number of work experiences,"4,585",4.1,3.3,1.0,2.0,3.0,5.0,8.0
Family Medicine,Number of volunteer experiences,"4,585",7.2,4.6,2.0,4.0,7.0,10.0,13.0
Internal Medicine,Number of research experiences,"8,987",2.6,2.2,0.0,1.0,2.0,4.0,5.0
Internal Medicine,"Number of abstracts, presentations, and publications","8,987",5.8,8.1,0.0,1.0,3.0,7.0,13.0
Internal Medicine,Number of work experiences,"8,987",4.3,3.3,1.0,2.0,4.0,6.0,8.0
Internal Medicine,Number of volunteer experiences,"8,987",6.4,4.1,2.0,4.0,6.0,9.0,12.0
Internal Medicine (preliminary),Number of research experiences,"1,917",3.8,2.9,1.0,2.0,3.0,5.0,7.0
Internal Medicine (preliminary),"Number of abstracts, presentations, and publications","1,917",10.5,12.9,1.0,3.0,7.0,13.0,25.0
Internal Medicine (preliminary),Number of work experiences,"1,917",3.8,2.8,1.0,2.0,3.0,5.0,7.0
Internal Medicine (preliminary),Number of volunteer experiences,"1,917",7.5,4.5,3.0,4.0,7.0,10.0,13.0
Internal Medicine/Pediatrics,Number of research experiences,378,3.3,2.2,1.0,2.0,3.0,4.8,6.0
Internal Medicine/Pediatrics,"Number of abstracts, presentations, and publications",378,6.5,6.8,0.0,2.0,5.0,8.0,14.0
Internal Medicine/Pediatrics,Number of work experiences,378,4.0,2.6,1.0,2.0,4.0,5.0,7.0
Internal Medicine/Pediatrics,Number of volunteer experiences,378,10.2,4.7,5.0,7.0,10.0,13.0,17.0
Neurological Surgery,Number of research experiences,228,5.3,2.8,2.0,3.0,5.0,7.0,9.0
Neurological Surgery,"Number of abstracts, presentations, and publications",228,30.0,29.8,7.0,12.0,20.0,35.0,58.9
Neurological Surgery,Number of work experiences,228,3.5,2.5,1.0,2.0,3.0,5.0,7.0
Neurological Surgery,Number of volunteer experiences,228,7.2,4.1,3.0,4.0,6.5,9.0,12.0
Neurology,Number of research experiences,895,3.1,2.1,1.0,2.0,3.0,4.0,6.0
Neurology,"Number of abstracts, presentations, and publications",895,7.6,13.1,0.0,2.0,5.0,9.0,17.0
Neurology,Number of work experiences,895,4.2,3.4,1.0,2.0,3.0,5.0,8.0
Neurology,Number of volunteer experiences,895,6.5,4.3,2.0,3.0,6.0,9.0,12.0
Obstetrics and Gynecology1,Number of research experiences,"1,460",3.9,2.5,1.0,2.0,4.0,5.0,7.0
Obstetrics and Gynecology1,"Number of abstracts, presentations, and publications","1,460",6.8,6.8,0.0,2.0,5.0,9.0,14.0
Obstetrics and Gynecology1,Number of work experiences,"1,460",4.1,2.6,1.0,2.0,4.0,5.0,7.0
Obstetrics and Gynecology1,Number of volunteer experiences,"1,460",9.9,4.6,5.0,7.0,9.0,12.0,16.0
Orthopaedic Surgery,Number of research experiences,862,5.3,3.5,2.0,3.0,5.0,7.0,9.0
Orthopaedic Surgery,"Number of abstracts, presentations, and publications",862,16.7,21.9,2.0,5.3,11.0,20.0,35.0
Orthopaedic Surgery,Number of work experiences,862,4.0,2.4,1.0,2.0,4.0,5.0,7.0
Orthopaedic Surgery,Number of volunteer experiences,862,8.7,4.4,4.0,6.0,8.0,11.0,14.0
Osteopathic Neuromusculoskeletal Medicine,Number of research experiences,37,1.7,1.9,0.0,0.0,1.0,2.0,4.4
Osteopathic Neuromusculoskeletal Medicine,"Number of abstracts, presentations, and publications",37,2.5,3.4,0.0,0.0,1.0,3.0,8.0
Osteopathic Neuromusculoskeletal Medicine,Number of work experiences,37,4.4,3.5,0.6,2.0,4.0,6.0,8.8
Osteopathic Neuromusculoskeletal Medicine,Number of volunteer experiences,37,8.7,9.9,0.0,3.0,7.0,10.0,18.2
Otolaryngology,Number of research experiences,346,6.6,3.6,3.0,4.0,6.0,8.0,10.0
Otolaryngology,"Number of abstracts, presentations, and publications",346,16.2,12.2,5.0,9.0,14.0,20.0,28.0
Otolaryngology,Number of work experiences,346,3.5,2.2,1.0,2.0,3.0,5.0,6.0
Otolaryngology,Number of volunteer experiences,346,9.2,4.1,4.0,6.0,9.0,12.0,14.5
Pathology: Anatomic and Clinical,Number of research experiences,577,2.6,2.2,0.0,1.0,2.0,4.0,5.0
Pathology: Anatomic and Clinical,"Number of abstracts, presentations, and publications",577,8.4,11.4,0.0,1.0,5.0,11.0,20.0
Pathology: Anatomic and Clinical,Number of work experiences,577,4.8,3.8,1.0,2.0,4.0,7.0,9.4
Pathology: Anatomic and Clinical,Number of volunteer experiences,577,4.8,3.9,1.0,2.0,4.0,7.0,9.0
Pediatrics1,Number of research experiences,"3,074",2.8,2.0,0.0,1.0,2.0,4.0,5.0
Pediatrics1,"Number of abstracts, presentations, and publications","3,074",5.5,6.6,0.0,1.0,4.0,7.0,12.0
Pediatrics1,Number of work experiences,"3,074",4.0,2.8,1.0,2.0,3.0,5.0,8.0
Pediatrics1,Number of volunteer experiences,"3,074",8.7,4.7,3.0,5.0,8.0,11.0,15.0
Physical Medicine and Rehabilitation,Number of research experiences,472,2.8,2.5,0.0,1.0,2.0,4.0,5.0
Physical Medicine and Rehabilitation,"Number of abstracts, presentations, and publications",472,5.8,7.5,0.0,1.0,4.0,8.0,13.0
Physical Medicine and Rehabilitation,Number of work experiences,472,3.8,2.9,1.0,2.0,3.0,5.0,7.0
Physical Medicine and Rehabilitation,Number of volunteer experiences,472,8.2,5.1,3.0,5.0,7.5,10.0,13.0
Plastic Surgery: Integrated,Number of research experiences,187,5.9,3.4,3.0,4.0,5.0,7.0,9.0
